comm_id,name,cntr_code,osm_id_commune,osm_name,osm_role_point,lon,lat,NUTS23_id,osm_id_NUTS23
BE213004,Beerse,BE,1283042,Beerse,admin_centre,4.856449,51.319139,BE21,53114
BE213044,Vorselaar,BE,1283231,Vorselaar,admin_centre,4.769482,51.202345,BE21,53114
BE213010,Grobbendonk,BE,1283235,Grobbendonk,admin_centre,4.738503,51.191990,BE21,53114
BE213012,Herenthout,BE,1283244,Herenthout,admin_centre,4.754397,51.139243,BE21,53114
BE212026,Nijlen,BE,1283245,Nijlen,admin_centre,4.670286,51.161002,BE21,53114
BE211055,Zoersel,BE,1283354,Zoersel,admin_centre,4.713256,51.271673,BE21,53114
BE211035,Ranst,BE,1283355,Ranst,admin_centre,4.563300,51.189701,BE21,53114
BE211039,Schilde,BE,1283358,Schilde,admin_centre,4.581486,51.238870,BE21,53114
BE213023,Merksplas,BE,1284051,Merksplas,admin_centre,4.864392,51.358938,BE21,53114
BE213014,Hoogstraten,BE,1284064,Hoogstraten,admin_centre,4.762890,51.398822,BE21,53114
BE211053,Wuustwezel,BE,1284088,Wuustwezel,admin_centre,4.595292,51.391621,BE21,53114
BE211022,Kalmthout,BE,1284337,Kalmthout,admin_centre,4.475982,51.382984,BE21,53114
FR3162439090,Béalencourt,FR,1284879,Béalencourt,admin_centre,2.122225,50.435040,FR302,7394
FR4154205076,Blainville-sur-l'Eau,FR,1285426,Blainville-sur-l'Eau,admin_centre,6.407888,48.555774,FR411,51856
FR4154426187,Euvezin,FR,1285427,Euvezin,admin_centre,5.838506,48.924277,FR411,51856
FR4154410223,Germiny,FR,1285430,Germiny,admin_centre,5.997200,48.548800,FR411,51856
